,dupe
356,142 WRIGHT ST
357,4780 MANAYUNK AVE
358,363 LEVERINGTON AVE
359,306 RIPKA ST
360,308 RIPKA ST
361,310 RIPKA ST
362,312 RIPKA ST
363,314 RIPKA ST
364,318 RIPKA ST
365,320 RIPKA ST
366,322 RIPKA ST
367,324 RIPKA ST
368,326 RIPKA ST
369,302 LEVERINGTON AVE
370,4335 BOONE ST
371,4229 TERRACE ST
372,4231 TERRACE ST
373,4503 SMICK ST
374,281 HERMITAGE ST
375,283 FOUNTAIN ST
376,4615 SILVERWOOD ST
377,291 1/2 HERMITAGE ST
378,4632 CANTON ST
379,1530 N 10TH ST
380,1538 N 10TH ST
381,1643 1/2 N MARSHALL ST
382,155 WENDOVER ST
383,114 DAWSON ST
384,1529 N 11TH ST
385,1537 N 11TH ST
386,112 SEVILLE ST
387,153 EAST ST
388,143 W YORK ST
389,2946 N 2ND ST
390,24 E SHARPNACK ST
391,555 PARKER AVE
392,557 PARKER AVE
393,9001 RIDGE AVE
394,800 SEFFERT ST
395,538 LEVERINGTON AVE
396,554 LEVERINGTON AVE
397,7398 VALLEY AVE
398,7015 RIDGE AVE
399,7033 RIDGE AVE
400,621 DUPONT ST
401,635 DUPONT ST
402,7828 EVA ST
403,639R DUPONT ST
404,562 DUPONT ST
405,556 RECTOR ST
406,203 ROCK ST
407,6818 PECHIN ST
408,6900 PECHIN ST
409,618 PARK LN
410,542 ROXBOROUGH AVE
411,8816 RIDGE AVE
412,525 WALNUT LN
413,5827 HENRY AVE
414,5829 HENRY AVE
415,535 DUPONT ST
416,6713 MITCHELL ST
417,240 LAURISTON ST
418,537 WALNUT LN
419,8524 HAGYS MILL RD
420,8520R HAGYS MILL RD
421,250 LAURISTON ST
422,4040R PECHIN ST
423,4042R PECHIN ST
424,456 PARKER AVE
425,4044R PECHIN ST
426,353 DELMAR ST
427,371 DELMAR ST
428,404 LEMONTE ST
429,286 PARKER AVE
430,7868 NIXON ST
431,100 PARKER AVE
432,2 RIVER RD
433,368 LYCEUM AVE
434,406 LEVERINGTON AVE
435,356 FLAMINGO ST
436,3 1/2 RIVER RD
437,6 1/2 RIVER RD
438,8 RIVER RD
439,21 RIVER RD
440,365 SHURS LN
441,288 DELMAR ST
442,493 HARMON RD
443,24 RIVER RD
444,443 SHURS LA
445,366 CINNAMINSON ST
446,160 FOUNTAIN ST
447,202 FOUNTAIN ST
448,204 FOUNTAIN ST
449,206 FOUNTAIN ST
450,16 SHAWMONT AVE
451,362 RIPKA ST
452,244 FOUNTAIN ST
453,246 FOUNTAIN ST
454,248 FOUNTAIN ST
455,368 RIPKA ST
456,4825 OGLE ST
457,4843 OGLE ST
458,419 GREEN LN
459,364 LIVEZEY ST
460,474 ORIOLE ST
461,4131 LAURISTON ST
462,417 LEMONTE ST
463,469 FLAMINGO ST
464,411 N 32ND ST
465,413 N 32ND ST
466,1241R-49 ORTHODOX ST
467,6502 LINCOLN DR
468,203 SLOCUM ST
469,421 SLOCUM ST
470,109 E GORGAS LN
471,3046 CHATHAM ST
472,2517 E CAMBRIA ST
473,751 N 40TH ST
474,4215 CHESTNUT ST
475,4217 CHESTNUT ST
476,2426 S 22ND ST
477,704 S COLORADO ST
478,1708 BAINBRIDGE ST
479,1710 BAINBRIDGE ST
480,1712 BAINBRIDGE ST
481,1714 BAINBRIDGE ST
482,706 S COLORADO ST
483,708 S COLORADO ST
484,710 S COLORADO ST
485,712 S COLORADO ST
486,714 S COLORADO ST
487,716 S COLORADO ST
488,1716 BAINBRIDGE ST
489,1718 BAINBRIDGE ST
490,1720 BAINBRIDGE ST
491,1722 BAINBRIDGE ST
492,1724 BAINBRIDGE ST
493,1726 BAINBRIDGE ST
494,1709 FITZWATER ST
495,1711 FITZWATER ST
496,1713 FITZWATER ST
497,1715 FITZWATER ST
498,1717 FITZWATER ST
499,1719 FITZWATER ST
500,1721 FITZWATER ST
501,1723 FITZWATER ST
502,1725 FITZWATER ST
503,1727 FITZWATER ST
504,1800 CHRISTIAN ST
505,1811 FITZWATER ST
506,2000 KATER ST
507,2030 SOUTH ST
508,1801 MONTROSE ST
509,1601 KATER ST
510,2001 BAINBRIDGE ST
511,1305 N 27TH ST
512,1626 DIAMOND ST
513,1600 PAGE ST
514,1908 E LETTERLY ST
515,1912 E LETTERLY ST
516,1914 E LETTERLY ST
517,1916 E LETTERLY ST
518,1918 E LETTERLY ST
519,2306R E FLETCHER ST
520,2101 E ARIZONA ST
521,2116 E YORK ST
522,1905 E HAGERT ST
523,1909 E HAGERT ST
524,1911 E HAGERT ST
525,1913 E HAGERT ST
526,1915 E HAGERT ST
527,2321 E DAUPHIN ST
528,2629 BELGRADE ST
529,2630 LIVINGSTON ST
530,2200 E THOMPSON ST
531,2202 E THOMPSON ST
532,2425 SOUTH ST
533,759 MARTIN ST
534,528 S 15TH ST
535,2212 NAUDAIN ST
536,2216 NAUDAIN ST
537,2302 NAUDAIN ST
538,2013 NAUDAIN ST
539,2017 NAUDAIN ST
540,2304 NAUDAIN ST
541,2306 NAUDAIN ST
542,2308 NAUDAIN ST
543,2310 NAUDAIN ST
544,2101 CARPENTER ST
545,707 S 18TH ST
546,709 S 18TH ST
547,711 S 18TH ST
548,713 S 18TH ST
549,715 S 18TH ST
550,717 S 18TH ST
551,719 S 18TH ST
552,2563 GRAYS FERRY AVE
553,2603 CATHARINE ST
554,916 S 20TH ST
555,1642 LOMBARD ST
556,900 S 18TH ST
557,3001 CLIFFORD ST
558,234 N FELTON ST
559,534 BENNER ST
560,5201 MONTOUR ST
561,574 ROSALIE ST
562,576 ROSALIE ST
563,578 ROSALIE ST
564,580 ROSALIE ST
565,582 ROSALIE ST
566,584 ROSALIE ST
567,586 ROSALIE ST
568,588 ROSALIE ST
569,590 ROSALIE ST
570,592 ROSALIE ST
571,594 ROSALIE ST
572,596 ROSALIE ST
573,602 ADAMS AVE
574,604 ADAMS AVE
575,606 ADAMS AVE
576,602 MAYFAIR ST
577,604 MAYFAIR ST
578,606 MAYFAIR ST
579,608 MAYFAIR ST
580,610 MAYFAIR ST
581,612 MAYFAIR ST
582,614 MAYFAIR ST
583,616 MAYFAIR ST
584,618 MAYFAIR ST
585,620 MAYFAIR ST
586,622 MAYFAIR ST
587,624 MAYFAIR ST
588,4700 E ROOSEVELT BLVD
589,603 GARLAND ST
590,605 GARLAND ST
591,607 GARLAND ST
592,609 GARLAND ST
593,611 GARLAND ST
594,613 GARLAND ST
595,603 MAYFAIR ST
596,615 GARLAND ST
597,617 GARLAND ST
598,619 GARLAND ST
599,621 GARLAND ST
600,623 GARLAND ST
601,625 GARLAND ST
602,605 MAYFAIR ST
603,607 MAYFAIR ST
604,609 MAYFAIR ST
605,611 MAYFAIR ST
606,613 MAYFAIR ST
607,615 MAYFAIR ST
608,700 LANDIS ST
609,6523R-61 LEBANON AVE
610,1315 N 75TH ST
611,531 GLENVIEW ST
612,6411 BINGHAM ST
613,2103 ELLSWORTH ST
614,5400 WISSAHICKON AVE
615,3409 AINSLIE ST
616,2531 S 58TH ST
617,1840 S CAMAC ST
618,1101 EMILY ST
619,5919 JACKSON ST
620,2601 S 83RD ST
621,2507 S 76TH ST
622,2509 S 76TH ST
623,2511 S 76TH ST
624,6229 HARLEY AVE
625,316R-28 E CLARKSON AVE
626,7233R MARSDEN ST
627,6419 TULIP ST
628,6008 KEYSTONE ST
629,6807 JACKSON ST
630,6613 DITMAN ST
631,5311R-19 N AMERICAN ST
632,224 W MENTOR ST
633,5431R-39 WESTFORD RD
634,3317 SALMON ST
635,2834-38 E VICTORIA ST
636,4814 PARRISH ST
637,4809 PARRISH ST
638,4811 PARRISH ST
639,4813 PARRISH ST
640,1801 CECIL B MOORE AVE
641,1500 N CARLISLE ST
642,1814 GINNODO ST
643,540 S 48TH ST
644,542 S 48TH ST
645,544 S 48TH ST
646,4942R N 5TH ST
647,1800-02 S 16TH ST
648,7801 MICHENER AVE
649,5933 N HUTCHINSON ST
650,5935 N HUTCHINSON ST
651,5937 N HUTCHINSON ST
652,5200 W MONTGOMERY AVE
653,5301 W MONTGOMERY AVE
654,1100 E SHARPNACK ST
655,1101 SLOCUM ST
656,7601 FORREST AVE
657,7603 FORREST AVE
658,7605 FORREST AVE
659,7607 FORREST AVE
660,7204 LAWNDALE ST
661,7336 DUNGAN RD
662,7927 ANITA DR
663,7515 ALMA ST
664,4100 KNORR ST
665,4120 KNORR ST
666,415 WELSH RD
667,2106 MURRAY ST
668,3209 HOLYOKE RD
669,3807 AUBREY AVE
670,8231 NARVON ST
671,8712 FRANKFORD AVE
672,2701 WILLITS RD
673,2848 WALNUT HILL ST
674,2803 WALNUT HILL ST
675,2805 WALNUT HILL ST
676,2807 WALNUT HILL ST
677,2809 WALNUT HILL ST
678,2811 WALNUT HILL ST
679,2813 WALNUT HILL ST
680,2815 WALNUT HILL ST
681,2817 WALNUT HILL ST
682,2819 WALNUT HILL ST
683,2821 WALNUT HILL ST
684,2823 WALNUT HILL ST
685,2825 WALNUT HILL ST
686,3324 WILLITS RD
687,2707 WILLITS RD
688,2705 WILLITS RD
689,2703 WILLITS RD
690,8244 ALGON AVE
691,8246 ALGON AVE
692,9110 BICKLEY ST
693,9200 MASLAND ST
694,2802 WELSH RD
695,2804 WELSH RD
696,2806 WELSH RD
697,2808 WELSH RD
698,2814 WELSH RD
699,2816 WELSH RD
700,2818 WELSH RD
701,2820 WELSH RD
702,2822 WELSH RD
703,2824 WELSH RD
704,2002 WELSH RD
705,2004 WELSH RD
706,2006 WELSH RD
707,2008 WELSH RD
708,9327 JAMISON AVE
709,15015 KELVIN AVE
710,10000 JEANES ST
711,10002 JEANES ST
712,12001 SEWELL RD
713,10004 JEANES ST
714,10103 NORTHEAST BLVD
715,9523 COWDEN ST
716,9501 HILSPACH ST
717,9503 HILSPACH ST
718,2087 RED LION RD
719,2089 RED LION RD
720,2091 RED LION RD
721,2093 RED LION RD
722,2095 RED LION RD
723,2097 RED LION RD
724,549 SELMA ST
725,9900 SANDY RD
726,9902 SANDY RD
727,881 MOREFIELD RD
728,9982 HALDEMAN AVE
729,9992 WOODFERN RD
730,9994 WOODFERN RD
731,9996 WOODFERN RD
732,9998 WOODFERN RD
733,9656 DUNGAN RD
734,9983 SANDY RD
735,9985 SANDY RD
736,9987 SANDY RD
737,9989 SANDY RD
738,9991 SANDY RD
739,9993 SANDY RD
740,9995 SANDY RD
741,9999 WOODFERN RD
742,1207 NORWALK RD
743,9841 NORTHEAST BLVD
744,5902R WAYNE AVE
745,4620 SANSOM ST
746,129 E WALNUT LN
747,131 E WALNUT LN
748,133 E WALNUT LN
749,135 E WALNUT LN
750,312 E RITTENHOUSE ST
751,314 E RITTENHOUSE ST
752,325 E HAINES ST
753,327 E HAINES ST
754,423 E HAINES ST
755,427 E HAINES ST
756,181 W 65TH AVE
757,183 W 65TH AVE
758,185 W 65TH AVE
759,187 W 65TH AVE
760,189 W 65TH AVE
761,191 W 65TH AVE
762,193 W 65TH AVE
763,195 W 65TH AVE
764,197 W 65TH AVE
765,199 W 65TH AVE
766,6608 N 13TH ST
767,300R SOLLY AVE
768,8013 BRIDLE RD
769,7724 BURHOLME AVE
770,417 CHANDLER ST
771,7811 VERREE RD
772,5713 ERDRICK ST
773,5829 AKRON ST
774,5826 AKRON ST
775,4615 LINDEN AVE
776,4617 LINDEN AVE
777,4419 PEARSON AVE
778,4305 RHAWN ST
779,4307 RHAWN ST
780,4619 PEARSON AVE
781,4103 WELSH RD
782,4427 ABERDALE RD
783,4953 FITLER ST
784,4202 HOLMESBURG AVE
785,4412 TOLBUT ST
786,4726 GRANT AVE
787,8052 MONTAGUE ST
788,7111 KEYSTONE ST
789,8008 CRISPIN ST
790,8501 RISING SUN AVE
791,8807 RISING SUN AVE
792,8015 MORO ST
793,8017 MORO ST
794,8057 MORO ST
795,102 KINGFIELD RD
796,9699 PINE RD
797,719 BENSON ST
798,725 STRATFORD DR
799,120 MOREDUN AVE
800,108 MOREDUN AVE
801,101 MOREDUN AVE
802,105 MOREDUN AVE
803,108 ALMATT PL
804,110 ALMATT PL
805,8998 PINE RD
806,1119 GREGG ST
807,9040 PINE RD
808,9060 PINE RD
809,1124 WELSH RD
810,10935 ELLICOTT RD
811,201 RIDGEFIELD RD
812,203 RIDGEFIELD RD
813,11901 WALDEMIRE DR
814,11907 WALDEMIRE DR
815,11909 WALDEMIRE DR
816,11915 WALDEMIRE DR
817,9817 ACADEMY RD
818,3633 E CROWN AVE
819,3699 N HEREFORD LN
820,3718 PRESIDENT ST
821,3697 MORRELL AVE
822,3699 MORRELL AVE
823,3620 AVALON ST
824,3339 S KESWICK RD
825,3357 S KESWICK RD
826,3599 NOTTINGHAM LN
827,3609 AVALON ST
828,3613 AVALON ST
829,3381 S KESWICK RD
830,3531 GLENN ST
831,9608 EDEN HALL LN
832,9324 STATE RD
833,9225 WALKER ST
834,8014 COTTAGE ST
835,4301 DEERPATH LN
836,4309 DEERPATH LN
837,3571 BROOKVIEW RD
838,3583 BROOKVIEW RD
839,3595 BROOKVIEW RD
840,500 E GODFREY AVE
841,625-35 E WISTER ST
842,2275 BRIDGE ST
843,4641 E ROOSEVELT BLVD
844,1126-36 ARCH ST
845,115 SOUTH ST
846,9901 E ROOSEVELT BLVD
847,1501 JOHN F KENNEDY BLVD
848,1501 MARKET ST
849,240 HERMITAGE ST
850,1700 S BROAD ST
851,1326-46 N BROAD ST
852,12014 TYRONE RD
853,12799 DUNKS FERRY RD
854,12498 SWEET BRIAR RD
855,12215 THORNTON RD
856,3900 FAIRDALE RD
857,3136 MECHANICSVILLE RD
858,1221 FAIRMOUNT AVE
859,2601 N BROAD ST
860,3200L CHESTNUT ST
861,1500 JOHN F KENNEDY BLVD
862,10102 JAMISON AVE
863,1600 JOHN F KENNEDY BLVD
864,1628 JOHN F KENNEDY BLVD
865,6904 RISING SUN AVE
866,7900 ALGON AVE
867,3100-16 CHESTNUT ST
868,7700 NIXON ST
869,400R W ERIE AVE
870,201-11 S BROAD ST
871,1801 JOHN F KENNEDY BLVD
872,1901 JOHN F KENNEDY BLVD
873,2716 ALMOND ST
874,2729-31 E THOMPSON ST
875,700 WALNUT LN
876,4101 S CHRIS COLUMBUS BLV
877,3000 MASTER ST
878,523-25 N BROAD ST
879,3900 GATEWAY DR
880,7959 CASTOR AVE
881,7244 CASTOR AVE
882,7915 BUSTLETON AVE
883,5520 WHITAKER AVE
884,15002 ENDICOTT ST
885,600-36 WASHINGTON AVE
886,4201 WALNUT ST
887,1708-14 CHESTNUT ST
888,2500 GRANT AVE
889,600 WASHINGTON AVE
890,10050 E ROOSEVELT BLVD
891,1805-09 WALNUT ST
892,3349 GRAYS FERRY AVE
893,259 MARKET ST
894,7901-03 FRANKFORD AVE
895,801 MARKET ST
896,901 MARKET ST
897,180 W DUNCANNON AVE
898,721 DELANCEY ST
899,265 S BROAD ST
900,225 N DAGGETT ST
901,322-44 N BROAD ST
902,339 N BROAD ST
903,11701 BUSTLETON AVE
904,4501 WOODHAVEN RD
905,1530-32 CHESTNUT ST
906,5675 N FRONT ST
907,4301 BYBERRY RD
908,2998 WELSH RD
909,8200 GERMANTOWN AVE
910,2900 ISLAND AVE
911,3000 ISLAND AVE
912,3200 RED LION RD
913,13032 BUSTLETON AVE
914,11000 RENNARD ST
915,7030 GROVERS AVE
916,150 S INDEPENDENCE W ML
917,8400 E ROOSEVELT BLVD
918,699 N BROAD ST
919,4521 FRANKFORD AVE
920,2319-27 FITZWATER ST
921,1338-48 CHESTNUT ST
922,3217 WILLITS RD
923,9550 BUSTLETON AVE
924,1503 WADSWORTH AVE
925,3300 HENRY AVE
926,6800 CASTOR AVE
927,8304 BUSTLETON AVE
928,1100 SOLLY AVE
929,8012 CASTOR AVE
930,8015 CASTOR AVE
931,8019 CASTOR AVE
932,400 W CHELTEN AVE
933,2801 TREMONT ST
934,9227 FRANKFORD AVE
935,250 GEIGER RD
936,1003 GERMANTOWN AVE
937,5149 WARREN ST
938,6300 CRESCENTVILLE RD
939,4610R N 4TH ST
940,106 COTTON ST
941,3780 MAIN ST
942,1401 S CHRIS COLUMBUS BLV
943,11500 E ROOSEVELT BLVD
944,4301-15 WISSAHICKON AVE
945,2401 ARAMINGO AVE
946,1801 W HUNTING PARK AVE
947,118R N 3RD ST
948,2220 RICHMOND ST
949,7101 GREENE ST
950,1701 JOHN F KENNEDY BLVD
951,1341 S CHRIS COLUMBUS BLV
952,830 SUSQUEHANNA RD
953,317-29 S 8TH ST
954,2904 S CHRIS COLUMBUS BLV
955,2906 S CHRIS COLUMBUS BLV
956,8500 PARKWOOD LN
957,3701 S CHRIS COLUMBUS BLV
958,9903 BUSTLETON AVE
959,2200 OREGON AVE
960,3051 JOHN F KENNEDY BLVD
961,15004 ENDICOTT ST
962,7001 MILNOR ST
963,325 W GLENWOOD AVE
964,159 W SPRINGFIELD AVE
965,2655-63 TRENTON AVE
966,3928 CRESSON ST
967,5200 NIXON ST
968,3100 S 20TH ST
969,3475 COLLINS ST
970,2510 ORTHODOX ST
971,5110R UMBRIA ST
972,6221 W PASSYUNK AVE
973,13 PATTISON AVE
974,7808 NIXON ST
975,5149R-53 COMLY ST
976,4030 N BROAD ST
977,3715 K ST
978,4807 ASHBURNER ST
979,4926 PEARSON AVE
980,12301 MC NULTY RD
981,3700 MORRIS ST
982,4301 N DELAWARE AVE
983,5135 BLEIGH AVE
984,401 E TIOGA ST
985,7000 HOLSTEIN AVE
986,7363 TULIP ST
987,1732 N HOWARD ST
988,5601 TABOR AVE
989,5001 COMLY ST
990,9300 ASHTON RD
991,6801 NEW STATE RD
992,6801R NEW STATE RD
993,53-69 E ARMAT ST
994,1890 WOODHAVEN RD
995,8 OREGON AVE
996,1251R BYBERRY RD
997,10901 DUTTON RD
998,5027 KNORR ST
999,700 PATTISON AVE
1000,2512 ORTHODOX ST
1001,2068R S 71ST ST
1002,1601 CHESTNUT ST
1003,202-10 W RITTENHOUSE SQ
1004,5201 OLD YORK RD
1005,2830A S 20TH ST
1006,2900 S 20TH ST
1007,456 N 05TH ST
1008,6201 TACONY ST
1009,2000 GRANT AVE
1010,2451 GRANT AVE
1011,3001R STOKLEY ST
1012,1429-33 WALNUT ST
1013,6404-06 E ROOSEVELT BLVD
1014,610 S 2ND ST
1015,10501-21 ACADEMY RD
